,Variable,Variable_Label,Values,Value_Labels
445,F_INC_SDT1,,6,"$70,000 to less than $80,000"
446,F_INC_SDT1,,7,"$80,000 to less than $90,000"
447,F_INC_SDT1,,8,"$90,000 to less than $100,000"
448,F_INC_SDT1,,9,"$100,000 or more"
449,F_INC_SDT1,,99,Refused
450,F_IDEO,Ideology,1,Very conservative
451,F_IDEO,,2,Conservative
452,F_IDEO,,3,Moderate
453,F_IDEO,,4,Liberal
454,F_IDEO,,5,Very liberal
455,F_IDEO,,99,Refused
456,F_INTFREQ,Frequency of internet use,1,Almost constantly
457,F_INTFREQ,,2,Several times a day
458,F_INTFREQ,,3,About once a day
459,F_INTFREQ,,4,Several times a week
460,F_INTFREQ,,5,Less often
461,F_INTFREQ,,99,Refused
462,F_VOLSUM,Volunteerism status,1,Yes
463,F_VOLSUM,,2,No
464,F_VOLSUM,,99,Refused
465,F_INC_TIER2,Income tier 3-way,1,Lower income
466,F_INC_TIER2,,2,Middle income
467,F_INC_TIER2,,3,Upper income
468,F_INC_TIER2,,99,Refused
469,WEIGHT_W139,Wave 139 weight,0.02553506,Min. Val.
470,WEIGHT_W139,,4.945435,Max. Val
